	country_pair	edges	cross_edges	fraction_cross	nodes_country1	nodes_country2
0	AZ_PL	2498991	768	0.0003073240359809219	17862	229119
1	GR_NL	10069250	5198	0.0005162251408992725	95531	1458648
2	IE_SK	1862571	64	3.436110623433952e-05	399630	1637
3	FI_MC	441377	2	4.53127371838587e-06	67755	1557
4	DK_TR	15567890	5950	0.0003821969451222998	44510	3795051
5	AL_DK	213443	19	8.901673983218002e-05	303	44302
6	BA_SM	7221	0	0.0	3474	248
7	DE_NO	4053044	3814	0.0009410211189417139	576717	121414
8	ES_MD	29289222	33	1.1266943177937605e-06	4885209	974
9	AZ_HU	185908	140	0.0007530606536566474	17811	27220
10	AD_GR	673079	0	0.0	638	94926
11	AL_MC	2679	0	0.0	295	1557
12	SE_TR	17151831	10877	0.0006341596999177523	314415	3795251
13	CH_DK	464267	540	0.0011631238059134077	72369	44336
14	BY_SK	326027	30	9.201691884414481e-05	97964	1613
15	BG_GE	47452	98	0.002065244879035657	6778	1310
16	AM_DK	221053	24	0.00010857124761934921	2257	44305
17	IL_LI	428520	1	2.333613366937366e-06	39811	191
18	HU_SM	88205	0	0.0	27200	248
19	CH_LU	254837	250	0.00098101923974933	72318	2810
20	IE_ME	1897452	116	6.11346163170399e-05	399628	6997
21	LT_LV	309153	547	0.0017693504510711525	4516	80661
22	DE_RU	10259631	36094	0.0035180602499251677	578071	1383232
23	AT_CH	420353	10980	0.026120903145689458	36830	72956
24	IL_PL	2828652	364	0.000128683203165324	39850	229124
25	SK_TR	15351821	295	1.9215961415912808e-05	1657	3794857
26	NO_RO	548520	58	0.00010573907970538904	121259	8294
27	CY_EE	66987	1	1.4928269664263215e-05	10598	16982
28	MC_MD	4732	0	0.0	1557	973
29	AL_IT	5607671	610	0.0001087795628523856	419	926164
30	LU_UA	476845	51	0.00010695299311096898	2758	144670
31	AD_EE	39702	0	0.0	638	16982
32	FR_GR	23748141	14872	0.0006262384916781486	3153515	96624
33	AD_BA	8255	0	0.0	638	3474
34	IT_RS	6297002	9492	0.0015073839900320819	926805	90407
35	AZ_CZ	322395	38	0.00011786783293785573	17800	44541
36	ES_HU	29380523	5644	0.0001921000521331768	4885662	27939
37	BG_RO	69690	397	0.005696656622183958	6796	8350
38	BG_PL	2446391	449	0.00018353566539445248	6826	229145
39	IS_MD	37590	0	0.0	6783	973
40	CY_PT	3137220	256	8.160090781009938e-05	10687	460235
41	RU_SE	8586562	95400	0.01111038387657365	1383856	317243
42	IL_SI	532004	23	4.3232757648438734e-05	39814	9979
43	HR_IT	5675482	3699	0.0006517508116491252	9885	926480
44	SE_SK	1795012	60	3.342596038355175e-05	314111	1625
45	GB_LI	48836363	110	2.252419984674125e-06	8242245	196
46	GB_SK	48840228	1890	3.8697608045564405e-05	8242314	1800
47	HU_ME	125621	39	0.0003104576464126221	27212	6976
48	CY_LV	327451	26	7.940119285022797e-05	10603	80637
49	FI_NO	966504	2895	0.0029953316282188176	67905	121423
50	DE_SM	3524796	17	4.822974152262997e-06	576432	256
51	CH_LV	549631	187	0.00034022826223411705	72297	80641
52	HR_IE	1925902	1187	0.0006163345798488189	9408	399644
53	MT_PL	2401974	13	5.412215119730688e-06	1166	229103
54	HU_IL	516209	376	0.0007283871455166415	27211	39824
55	BA_MT	8525	3	0.00035190615835777126	3474	1160
56	RU_TR	22064710	16974	0.0007692827143434017	1382987	3795502
57	BG_ME	83160	73	0.0008778258778258778	6753	6972
58	HU_PL	2489432	995	0.0003996895677407537	27371	229244
59	GB_PL	51486574	250552	0.004866356032933945	8249734	235962
60	BE_GE	807646	209	0.00025877674129507237	191364	1336
61	AZ_MK	253773	27	0.00010639429726566656	17811	13846
62	FR_NL	32513934	60275	0.001853820580431762	3155871	1461645
63	HU_IE	1948435	699	0.00035874945789826195	27340	399674
64	PL_TR	17759814	10604	0.0005970783252572352	229620	3795397
65	AM_NL	9400277	203	2.1595108314361375e-05	2297	1458423
66	AM_RS	688586	36	5.2281051313851866e-05	2246	89687
67	CZ_IS	259872	3	1.1544144809752493e-05	44538	6783
68	AZ_PT	3207275	1066	0.00033236937898995254	18120	460379
69	ME_NO	562327	71	0.00012626105451098737	6984	121261
70	BA_IT	5615110	1290	0.00022973726249352194	3739	926249
71	CZ_EE	263053	19	7.222879039585178e-05	44540	16984
72	CH_NO	775678	462	0.000595607971348936	72358	121290
73	CZ_MT	226100	5	2.2114108801415304e-05	44540	1162
74	GE_HU	89923	74	0.0008229262813740644	1307	27226
75	LU_SI	108200	25	0.0002310536044362292	2750	9979
76	CZ_SE	2017191	421	0.0002087060670010921	44607	314137
77	FI_MK	594943	30	5.04249986973542e-05	67758	13837
78	IE_SI	1964146	262	0.00013339130594161534	399641	10012
79	BG_MD	47798	1	2.0921377463492197e-05	6731	973
80	CY_GR	705761	5398	0.00764848156812292	10759	95026
81	IL_ME	465441	8	1.7188000197662e-05	39812	6968
82	LU_SM	4251	1	0.0002352387673488591	2742	249
83	LT_SM	9927	0	0.0	4481	248
84	AL_AT	159091	21	0.00013199992457147168	306	35947
85	FR_UA	23540033	5837	0.00024796056997881017	3153172	145164
86	BE_SE	2601464	3695	0.0014203540775501794	191758	314253
87	ES_LV	29586892	1111	3.755041252727728e-05	4885286	80682
88	GR_RO	696088	460	0.0006608359862546115	95022	8393
89	CY_GB	48871318	7210	0.00014753029578617053	10883	8242335
90	BA_IE	1866900	148	7.927580481011302e-05	3515	399633
91	PT_UA	3581664	474	0.00013234072207778284	460239	144733
92	MK_SM	156183	0	0.0	13831	248
93	AM_MT	9373	5	0.000533447135388883	2245	1163
94	MC_MT	3946	0	0.0	1557	1160
95	GE_LU	5898	4	0.0006781959986436081	1287	2742
96	PL_SE	4199011	6375	0.001518214646258369	229330	314255
97	AD_LV	300141	0	0.0	638	80637
98	NL_TR	24795877	54892	0.002213755133565149	1459695	3796360
99	BY_MK	479212	8	1.66940727694632e-05	97964	13835
100	MT_SK	4277	0	0.0	1160	1612
101	BY_HR	388210	5	1.2879627006001906e-05	97965	9365
102	BE_FR	24144264	277247	0.011482934414567368	199001	3156357
103	LU_NL	9396931	674	7.172554528707298e-05	2893	1458479
104	GR_LV	970804	80	8.240592333776952e-05	94946	80640
105	AZ_CH	348410	82	0.00023535489796504117	17833	72301
106	AZ_ES	29388007	3342	0.00011371985858040663	18419	4885546
107	BG_LV	344406	17	4.936034796141763e-05	6737	80637
108	CH_SI	355239	549	0.0015454384231461072	72318	10011
109	DK_LI	213854	1	4.676087424130481e-06	44303	190
110	BG_CH	296506	459	0.0015480293822047447	6808	72348
111	AD_ME	38839	0	0.0	638	6964
112	LV_MD	301200	6	1.9920318725099602e-05	80637	973
113	ES_PL	31706764	19430	0.0006128029968621207	4886119	229995
114	MD_UA	475273	214	0.0004502675304509198	980	144676
115	BE_FI	1245971	1448	0.001162145828434209	191488	67799
116	IE_LI	1860422	0	0.0	399622	190
117	DK_GB	49083157	34405	0.0007009532822022838	45667	8243040
118	DK_NL	9609989	4592	0.0004778361348800711	44581	1458764
119	CZ_GE	226456	18	7.948563959444661e-05	44544	1292
120	GR_PL	3074127	1850	0.000601796867858745	95224	229231
121	AM_GR	680330	646	0.0009495391942145724	2393	95096
122	IT_MC	5617982	8738	0.0015553627619312414	926212	1796
123	CZ_FR	23296662	10644	0.0004568894891465567	45895	3153371
124	RS_TR	16032472	3011	0.0001878063470187255	89943	3795047
125	LI_RU	6699679	30	4.47782647496992e-06	191	1382447
126	AT_LT	168580	45	0.0002669355795468027	35953	4487
127	IS_NL	9427788	278	2.948729861129673e-05	6793	1458427
128	MC_NL	9395132	480	5.109028803427137e-05	1582	1458420
129	BA_EE	45462	1	2.1996392591614976e-05	3475	16982
130	AL_CH	250835	36	0.0001435206410588634	309	72282
131	FR_GE	23064531	1235	5.354542002176415e-05	3152912	1476
132	MC_RO	26234	6	0.00022871083326980255	1560	8276
133	CZ_TR	15575101	1757	0.00011280825723056306	44742	3794977
134	AT_RS	844222	4703	0.0055708095737850944	36214	89834
135	HR_PT	3173854	452	0.00014241360818739615	9493	460271
136	FI_LI	439625	4	9.09866363377879e-06	67755	190
137	HR_NO	590001	366	0.0006203379316306243	9385	121261
138	FI_HU	527251	316	0.0005993350415646438	67772	27247
139	ES_UA	29761681	2035	6.837651408198347e-05	4885424	144880
140	LI_NO	525343	1	1.90351827282366e-06	190	121257
141	CZ_SK	229168	1826	0.007967953640996998	44624	1742
142	BA_RS	716150	28446	0.03972072889757732	4505	90093
143	BA_CY	35550	11	0.00030942334739803094	3480	10602
144	CH_RU	6952377	2854	0.0004105070826855333	72546	1382601
145	DK_FR	23280538	5924	0.00025446147335598515	44621	3153137
146	FI_IS	474250	17	3.584607274644175e-05	67756	6783
147	AD_MK	157217	0	0.0	638	13831
148	DK_ME	250793	26	0.00010367115509603537	44303	6973
149	IS_RU	6734271	10	1.4849417256893879e-06	6785	1382445
150	AD_CZ	225829	1	4.428129248236498e-06	638	44537
151	BE_LI	806263	7	8.682030553305807e-06	191350	190
152	LI_LU	4713	0	0.0	190	2742
153	NO_TR	15876694	3265	0.00020564734698546184	121407	3795000
154	ES_SM	29287177	75	2.560847704782199e-06	4885216	267
155	LI_MK	156646	0	0.0	190	13831
156	ES_TR	44727722	92070	0.0020584549331620332	4892874	3803434
157	CH_FI	690097	602	0.0008723411346520852	72366	67773
158	FR_TR	38494091	83889	0.002179269540356207	3156255	3799104
159	AD_AZ	99025	0	0.0	638	17798
160	MT_NL	9393833	97	1.0325923401022777e-05	1179	1458426
161	DK_GR	885415	408	0.000460800867389868	44338	95022
162	IE_PT	4972021	3844	0.0007731262599252899	399902	460750
163	CZ_IT	5834224	2831	0.00048524019646828783	44926	926374
164	ME_SK	40356	3	7.43383883437407e-05	6965	1613
165	PT_RU	9810998	3594	0.0003663235890986829	460651	1382641
166	AT_RO	183294	675	0.003682608268683099	36114	8421
167	BA_SE	1799433	236	0.0001311524241247104	3509	314124
168	RS_SI	787234	2398	0.0030461082727626094	89706	10001
169	BY_IT	5930831	783	0.00013202197128867776	98010	926172
170	AT_IS	194120	9	4.6363074386977125e-05	35944	6784
171	IL_NO	952554	47	4.934103473398883e-05	39818	121257
172	ES_GR	29996887	38168	0.0012723986992383576	4888853	99587
173	FR_SE	24868113	14485	0.0005824728237321424	3153544	314541
174	IL_NL	9821976	1913	0.0001947673258415618	39884	1458436
175	AL_UA	473011	5	1.0570578696901341e-05	298	144665
176	CH_LT	260301	37	0.00014214313429452825	72287	4486
177	LT_PL	2410446	287	0.00011906510247481172	4534	229147
178	EE_MT	39969	0	0.0	16982	1160
179	MK_PL	2556769	354	0.00013845599661134816	13870	229123
180	GE_IE	1861692	89	4.780597435021475e-05	1319	399626
181	AM_NO	532543	25	4.69445659787097e-05	2253	121260
182	MK_RU	6855074	133	1.9401686983977124e-05	13867	1382457
183	AL_CZ	224829	1	4.447824791285822e-06	296	44538
184	BA_TR	15356935	1164	7.579637473232777e-05	3624	3794892
185	HU_MK	244026	66	0.00027046298345258295	27219	13857
186	BA_SI	111231	85	0.0007641754546843956	3485	9982
187	IT_NO	6135193	3715	0.0006055229232397416	926442	121382
188	LI_UA	473435	0	0.0	190	144661
189	BY_FR	23385476	803	3.4337552077195266e-05	98023	3152847
190	AM_FR	23070101	810	3.511037944740684e-05	2413	3152849
191	BY_NO	847989	89	0.00010495419162276869	97973	121260
192	AD_NO	525913	0	0.0	638	121257
193	IT_MD	5609174	60	1.0696762125760406e-05	926116	975
194	AM_MK	163830	8	4.883110541414881e-05	2247	13837
195	GE_SE	1794124	76	4.2360505739848526e-05	1312	314113
196	GE_LV	300756	5	1.6624772240620302e-05	1286	80637
197	AT_MD	161125	2	1.2412723041117144e-05	35941	973
198	GB_HU	48943600	20033	0.0004093078563898038	8242951	29051
199	AT_NO	683935	448	0.0006550330075226447	36020	121276
200	RU_SM	6699193	7	1.0449019755066022e-06	1382447	252
201	BY_DK	536503	92	0.0001714808677677478	97979	44330
202	CY_DE	3553308	211	5.938128639566286e-05	10638	576452
203	AL_AM	8103	2	0.0002468221646303838	297	2245
204	MD_ME	39892	0	0.0	973	6964
205	AL_RS	680959	14	2.0559240717869944e-05	300	89678
206	FI_SK	441722	16	3.622187710822644e-05	67757	1615
207	RU_UA	7377301	205571	0.02786533991225246	1385716	148203
208	LI_TR	15350016	575	3.7459244342155736e-05	213	3794867
209	GR_SM	672049	4	5.9519469562487255e-06	94926	248
210	GE_SK	4623	3	0.0006489292667099286	1285	1614
211	CH_PT	3366167	7184	0.0021341781319821626	72812	460549
212	BY_UA	808597	12604	0.015587492904376346	98855	145097
213	CZ_IE	2084989	664	0.000318466907978891	44660	399689
214	DK_HU	301360	193	0.0006404300504380143	44318	27239
215	BE_SI	910470	752	0.000825947038342834	191449	10040
216	GB_LT	48848597	3308	6.771944750020149e-05	8242371	4762
217	AD_IL	429090	0	0.0	638	39811
218	GE_PT	3110880	590	0.00018965694594455588	1432	460286
219	EE_NL	9431010	335	3.5521115978034164e-05	17004	1458454
220	LU_RS	684952	219	0.00031973043366542475	2767	89685
221	AZ_SM	97991	0	0.0	17798	248
222	LI_LT	10390	0	0.0	190	4481
223	LI_ME	38268	0	0.0	190	6964
224	AT_EE	197318	42	0.00021285437719822825	35948	16985
225	ES_IT	35087690	193989	0.005528691116457082	4896506	938560
226	IE_MK	2015818	104	5.159195919472889e-05	399628	13858
227	AZ_DK	311027	74	0.000237921466625084	17835	44307
228	GB_IT	54687409	245020	0.004480373169626669	8248208	939124
229	SE_SM	1792404	0	0.0	314108	248
230	GR_LI	672524	16	2.3790972515479003e-05	94933	192
231	BE_UA	1283721	5384	0.004194057743076572	191773	144833
232	FR_SM	23061769	117	5.07333153844356e-06	3152818	284
233	EE_RU	6743110	5684	0.0008429344916514784	17135	1382513
234	GB_LV	49143009	8540	0.00017377853277156878	8242506	80914
235	FI_MT	440466	7	1.589225956146445e-05	67755	1162
236	IL_SK	430610	6	1.393372192935603e-05	39813	1615
237	AT_CZ	384165	763	0.001986125753257064	36080	44717
238	AZ_GR	770383	775	0.0010059931229012063	18020	95128
239	BG_LU	49552	20	0.0004036164029706167	6736	2750
240	MD_RO	26204	106	0.004045183941382995	973	8276
241	BE_IS	841065	197	0.0002342268433474226	191355	6787
242	GR_LT	681614	70	0.00010269742112104505	94949	4486
243	FI_FR	23505209	4827	0.00020535873558920494	67917	3153064
244	EE_MD	40756	1	2.4536264599077437e-05	16982	973
245	AM_CH	258556	152	0.0005878803818128375	2295	72291
246	BY_CY	351790	23	6.537991415333011e-05	97968	10603
247	RO_RS	705618	1124	0.0015929298855754813	8361	89723
248	HR_IS	100261	2	1.9947935887334058e-05	9363	6784
249	BG_EE	83958	8	9.528573810714881e-05	6733	16982
250	AT_FR	23253910	33650	0.0014470684714957614	39190	3155153
251	HU_IT	5702293	7489	0.0013133313212772477	28400	926706
252	IS_MT	36804	0	0.0	6783	1160
253	AL_IL	428099	9	2.1023174546074624e-05	300	39814
254	AZ_LI	98456	2	2.0313642642398633e-05	17799	190
255	LI_RS	681374	0	0.0	190	89674
256	IS_ME	72881	1	1.3720997242079555e-05	6784	6964
257	AL_LI	925	0	0.0	295	190
258	GR_UA	1144941	352	0.0003074394226427388	94977	144703
259	AL_PL	2400792	98	4.081986277861639e-05	319	229109
260	HR_RU	6764203	261	3.858547710646768e-05	9414	1382474
261	BY_LU	327278	7	2.1388544295675235e-05	97964	2743
262	CH_MK	407306	786	0.0019297530603526586	72327	13873
263	AT_SK	161855	271	0.0016743381421642828	35973	1656
264	BE_RS	1487420	1144	0.0007691169945274368	191490	89813
265	AZ_NO	622534	92	0.00014778309297162887	17820	121259
266	MD_SI	106440	0	0.0	973	9973
267	DK_UA	686323	389	0.0005667885237708775	44330	144681
268	BE_HR	871098	549	0.0006302390775779534	191454	9457
269	CY_RU	6727987	483	7.178967498004976e-05	10631	1382448
270	BY_SM	323455	6	1.854972098128024e-05	97969	249
271	AT_TR	15527519	19933	0.0012837208571440163	37084	3795347
272	BY_GB	49161556	2745	5.583631242265806e-05	98194	8242421
273	IL_LV	726751	16	2.2015793579919394e-05	39818	80637
274	DE_ES	32881041	69588	0.002116356352586282	580095	4888797
275	SE_SI	1896635	306	0.00016133837032428485	314113	9994
276	DK_IT	5822652	2663	0.0004573517359443772	44457	926409
277	AD_UA	474006	0	0.0	638	144661
278	PL_RS	3082156	1013	0.0003286660376697351	229153	89765
279	IL_RS	1108658	119	0.00010733697858131183	39818	89690
280	LV_RS	979645	55	5.61427864175288e-05	80639	89681
281	DE_NL	13028129	111343	0.008546353816422912	582004	1465303
282	AZ_SK	100544	5	4.9729471674092936e-05	17802	1613
283	NO_SM	524880	1	1.9051973784484072e-06	121257	248
284	PT_SK	3111310	116	3.728333081563714e-05	460199	1651
285	BA_NL	9399727	499	5.3086648154781514e-05	3564	1458446
286	IT_MK	5764922	2140	0.0003712105731872868	926261	14114
287	AZ_FI	536750	29	5.402887750349325e-05	17813	67760
288	AL_FR	23062014	328	1.4222521935855211e-05	372	3152835
289	BA_LU	11098	55	0.004955847900522617	3479	2749
290	GR_HU	760293	471	0.000619498009320091	95044	27297
291	EE_IT	5645564	297	5.2607675690152484e-05	17002	926139
292	BE_ES	30118906	26439	0.0008778207282827603	193207	4886617
293	AM_SM	8068	1	0.00012394645513138323	2243	248
294	BE_DE	4439397	109253	0.024609873818448768	198036	581113
295	BG_BY	368865	134	0.00036327653748661435	6740	97969
296	ME_RU	6736976	413	6.130346909355177e-05	6991	1382462
297	CY_FR	23090387	417	1.8059463446844785e-05	10681	3152836
298	RO_SK	26591	32	0.0012034146891805497	8286	1627
299	IT_PT	8751923	36678	0.004190850399392225	930562	465054
300	LI_PT	3109133	24	7.719193743078858e-06	195	460183
301	AM_PT	3116993	708	0.0002271419922983465	2423	460317
302	BA_DE	3532349	777	0.00021996693984654403	3616	576542
303	GE_GR	673877	188	0.00027898266300823446	1355	94964
304	AM_BE	813519	87	0.00010694280035254247	2270	191359
305	DE_LV	3824945	1487	0.0003887637600017778	576556	80755
306	AD_SM	1462	0	0.0	638	248
307	CY_ES	29316400	980	3.3428388205918873e-05	10755	4885294
308	CZ_ES	29514421	2953	0.0001000527843659884	44965	4885456
309	AL_RO	24056	11	0.0004572663784502827	302	8279
310	AL_DE	3524921	108	3.0638984533270394e-05	335	576447
311	AM_LV	306749	3	9.77998298282961e-06	2243	80637
312	LU_RU	6703165	157	2.342177165562835e-05	2767	1382449
313	CZ_NL	9618669	1868	0.00019420566400611144	44801	1458642
314	MK_UA	628747	20	3.18092969032059e-05	13840	144667
315	CY_IT	5635735	390	6.920126656061721e-05	10686	926151
316	TR_UA	15824226	2704	0.00017087723595454212	3794936	144830
317	AT_ES	29453342	7632	0.0002591216983118588	36937	4885807
318	BE_SK	808581	240	0.0002968162744363273	191374	1673
319	EE_LU	42499	9	0.00021176968869855763	16983	2742
320	BA_BE	812731	145	0.00017841081489447308	3531	191377
321	DK_RS	894465	592	0.0006618481438625324	44328	89711
322	FR_LU	23075074	9600	0.000416033335364385	3153010	3322
323	MT_SE	1793723	18	1.0034994254965789e-05	1163	314111
324	AT_LV	457819	104	0.00022716401023111754	35955	80639
325	AM_SE	1800109	66	3.6664446430743914e-05	2254	314115
326	IE_LV	2159169	531	0.00024592794727971735	399670	80658
327	CH_EE	289054	49	0.00016951849827367898	72287	16990
328	DK_MK	369469	324	0.0008769341947497625	44302	13839
329	AM_DE	3532731	313	8.860000945444191e-05	2316	576477
330	AZ_SI	201926	10	4.9523092618087814e-05	17803	9979
331	GR_ME	709541	119	0.00016771405739766977	94956	7012
332	LU_TR	15352997	197	1.2831370969459578e-05	2795	3794864
333	AL_BY	323483	0	0.0	295	97964
334	CZ_UA	699843	2505	0.003579374231077542	44788	144758
335	IT_SK	5609965	390	6.951915029772913e-05	926154	1707
336	MK_SE	1948413	254	0.00013036250527993808	13851	314114
337	BY_IE	2183253	273	0.0001250427687492013	97985	399652
338	FI_IE	2300428	1739	0.0007559462847783108	67801	399751
339	DE_ME	3562629	473	0.00013276712225718704	576565	7035
340	CY_IL	456421	47	0.00010297510412535795	10614	39822
341	GE_PL	2402474	170	7.076039116344236e-05	1316	229111
342	CY_DK	241733	25	0.00010341988888567139	10605	44303
343	BG_MK	201895	430	0.00212981995591768	6767	13851
344	HU_SI	192581	451	0.0023418717318946314	27222	9992
345	LI_SK	3439	0	0.0	190	1612
346	NL_SK	9395256	273	2.9057217812904726e-05	1458434	1659
347	FI_RS	1119956	315	0.000281261049541232	67765	89706
348	LU_RO	27862	29	0.0010408441605053477	2752	8285
349	GR_IS	707132	12	1.696995751853968e-05	94930	6784
350	BE_PL	3214375	8350	0.0025977056192883533	192190	229874
351	AL_BG	45767	23	0.0005025455022177552	312	6744
352	IL_TR	15777965	1359	8.613278074834112e-05	40026	3794987
353	CY_MD	30834	1	3.243173120581177e-05	10599	973
354	IS_LI	35966	0	0.0	6783	190
355	AL_LV	299145	4	1.3371441942870515e-05	297	80637
356	CY_LU	32575	7	0.00021488871834228704	10600	2742
357	GB_UA	49325687	17353	0.00035180452732467773	8243059	145441
358	IS_SK	38053	2	5.255827398628229e-05	6784	1613
359	MD_RS	682998	0	0.0	973	89674
360	MC_UA	475199	10	2.1043815327894207e-05	1558	144663
361	IS_SM	35503	0	0.0	6783	248
362	MD_TR	15351083	18	1.1725557082845555e-06	974	3794829
363	CY_CZ	253127	15	5.925879104165103e-05	10600	44541
364	CH_GE	252518	109	0.0004316523970568435	72307	1325
365	DE_IS	3560406	552	0.0001550384984184388	576454	6793
366	DE_LI	3526002	760	0.00021554156804221892	576526	206
367	HR_SE	1857831	671	0.0003611738634999631	9402	314122
368	BA_BG	52540	37	0.0007042253521126761	3491	6754
369	AZ_BY	421152	140	0.0003324215485145506	17804	97982
370	BG_DK	258856	184	0.0007108199153197145	6769	44316
371	BE_LT	815457	165	0.00020234052807198907	191379	4496
372	EE_FI	478896	1498	0.0031280277972670478	17036	67816
373	PT_SI	3212832	261	8.123674066991365e-05	460208	10038
374	GB_SE	50719188	91422	0.0018025130843971713	8244043	316145
375	DK_MC	215614	7	3.24654243230959e-05	44303	1561
376	MK_NL	9549240	1050	0.00010995639443557811	13910	1458443
377	MK_RS	839006	2340	0.002789014619680908	13859	89727
378	LU_PT	3113472	1004	0.00032246957737214275	2827	460219
379	AZ_RS	778603	129	0.000165681354939552	17823	89688
380	MK_SI	260523	415	0.0015929495668328708	13832	9975
381	IE_MC	1862206	30	1.6109925539924155e-05	399625	1571
382	FR_NO	23591335	5232	0.00022177634288182504	3153083	121450
383	HR_LU	69064	58	0.0008398007645082821	9369	2752
384	FI_GE	440823	21	4.763816769996121e-05	67756	1292
385	BY_IL	751217	140	0.00018636425959476423	97970	39821
386	AT_BG	204972	654	0.003190679702593525	36008	6819
387	IT_ME	5646532	2128	0.0003768684920230683	926240	7170
388	LT_RU	6724708	16023	0.002382705687741386	5496	1382767
389	ES_IE	31176938	30305	0.000972032596658466	4886485	400827
390	GE_RU	6701806	976	0.000145632386255287	1349	1382491
391	DK_SI	317392	77	0.00024260220799516056	44306	9986
392	FI_GB	49299860	25340	0.0005139974028323813	68390	8242864
